"","y"
"2017-01-01 00:00:00",34055.6962
"2017-01-01 00:10:00",29814.68354
"2017-01-01 00:20:00",29128.10127
"2017-01-01 00:30:00",28228.86076
"2017-01-01 00:40:00",27335.6962
"2017-01-01 00:50:00",26624.81013
"2017-01-01 01:00:00",25998.98734
"2017-01-01 01:10:00",25446.07595
"2017-01-01 01:20:00",24777.72152
"2017-01-01 01:30:00",24279.49367
"2017-01-01 01:40:00",23896.70886
"2017-01-01 01:50:00",23544.3038
"2017-01-01 02:00:00",23003.5443
"2017-01-01 02:10:00",22329.11392
"2017-01-01 02:20:00",22092.1519
"2017-01-01 02:30:00",21903.79747
"2017-01-01 02:40:00",21685.06329
"2017-01-01 02:50:00",21484.55696
"2017-01-01 03:00:00",21107.8481
"2017-01-01 03:10:00",20998.48101
"2017-01-01 03:20:00",20870.88608
"2017-01-01 03:30:00",20870.88608
"2017-01-01 03:40:00",20597.46835
"2017-01-01 03:50:00",20421.26582
"2017-01-01 04:00:00",20524.55696
"2017-01-01 04:10:00",20482.02532
"2017-01-01 04:20:00",20530.63291
"2017-01-01 04:30:00",20512.40506
"2017-01-01 04:40:00",20494.17722
"2017-01-01 04:50:00",20311.89873
"2017-01-01 05:00:00",20542.78481
"2017-01-01 05:10:00",20621.77215
"2017-01-01 05:20:00",20627.8481
"2017-01-01 05:30:00",20797.97468
"2017-01-01 05:40:00",20858.73418
"2017-01-01 05:50:00",21393.41772
"2017-01-01 06:00:00",22219.74684
"2017-01-01 06:10:00",21928.10127
"2017-01-01 06:20:00",21776.20253
"2017-01-01 06:30:00",21654.68354
"2017-01-01 06:40:00",21466.32911
"2017-01-01 06:50:00",20846.58228
"2017-01-01 07:00:00",19983.79747
"2017-01-01 07:10:00",18908.35443
"2017-01-01 07:20:00",18167.08861
"2017-01-01 07:30:00",18075.94937
"2017-01-01 07:40:00",18063.79747
"2017-01-01 07:50:00",18045.56962
"2017-01-01 08:00:00",18385.82278
"2017-01-01 08:10:00",18987.34177
"2017-01-01 08:20:00",19576.70886
"2017-01-01 08:30:00",19837.97468
"2017-01-01 08:40:00",20166.07595
"2017-01-01 08:50:00",20676.4557
"2017-01-01 09:00:00",21296.20253
"2017-01-01 09:10:00",22043.5443
"2017-01-01 09:20:00",22651.13924
"2017-01-01 09:30:00",23131.13924
"2017-01-01 09:40:00",23641.51899
"2017-01-01 09:50:00",24668.35443
"2017-01-01 10:00:00",25275.94937
"2017-01-01 10:10:00",25920
"2017-01-01 10:20:00",26393.92405
"2017-01-01 10:30:00",26861.77215
"2017-01-01 10:40:00",27511.89873
"2017-01-01 10:50:00",28149.87342
"2017-01-01 11:00:00",28714.93671
"2017-01-01 11:10:00",29043.03797
"2017-01-01 11:20:00",29261.77215
"2017-01-01 11:30:00",29474.43038
"2017-01-01 11:40:00",29523.03797
"2017-01-01 11:50:00",29711.39241
"2017-01-01 12:00:00",29644.55696
"2017-01-01 12:10:00",29802.53165
"2017-01-01 12:20:00",29887.59494
"2017-01-01 12:30:00",30039.49367
